NAME,AMW,ATDF,BOVM,BUR,CBO,CC,CM,CRIX,DAC,DIT,FANOUT,FDP,GREEDY,LOCC,NAS,NDU,NOA,NOAM,NOD,NOM,NOPA,TCC,WMC,WOC
Counter,0,0,0,1,0,1,3,0,0,0,0,0,0,46,0,0,0,0,0,7,0,0,0,1
CounterService,1.17,0,0,1,0,1,3,0,0,0,0,0,0,45,0,0,2,0,0,6,0,1,7,1
Client,0,0,0,1,0,1,1,0,0,0,0,0,0,15,0,0,0,0,2,6,0,0,0,1
ConnectionListener,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,1
NioBaseServer,1.12,0,0,1,0,1,1,0,0,1,0,0,0,173,0,0,8,0,2,16,0,0.06,18,1
Acceptor,3.75,4,0,1,1,0,0,0.5,0,0,6,1,0,73,0,0,0,0,0,4,0,0.33,15,1
NioClient,1.86,3,0,0.23,3,0,0,0,1,2,3,3,0,104,6,0,2,0,0,14,0,0.38,26,1
NioServer,1.75,3,2,0.31,3,0,0,0,0,2,3,3,0,115,2,0,1,0,0,8,0,0.5,14,1
Receiver,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,5,3,0,0,0,1
ReceiverAdapter,1,0,0,1,0,1,2,0,0,0,0,0,0,19,0,0,0,0,4,3,0,0,3,1
TcpBaseServer,1,0,0,1,0,0,0,0,0,1,0,0,0,17,0,0,1,0,2,4,0,0,4,1
TcpClient,1.81,2,0,0.33,2,0,0,0,1,2,2,2,0,114,6,0,2,0,0,16,0,0.27,29,1
Executions,6,0,0,1,1,0,0,0,0,0,1,0,0,163,0,0,0,0,0,2,0,1,12,1
StreamableCallable,1.17,0,0,1,0,0,0,0,2,0,0,0,0,69,2,0,3,0,0,6,0,0.5,7,1
ExecutorNotification,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,1
GridFilesystem,1.47,0,0,1,2,0,0,0,2,0,2,0,0,98,0,0,4,0,0,15,0,0.41,22,1
MethodInvoker,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,1,0,1
MethodLookup,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,1
ReplicatedMap,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,8,0,0,0,1
Request,0.93,0,0,1,1,0,0,0,1,1,3,0,0,74,0,0,4,0,0,15,0,0.03,14,1
RspFilter,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,1
Response,0,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,2,0,0,0,1
RpcDispatcherAnycastTest,1,3,0,1,3,0,0,0,1,1,3,3,0,83,0,0,6,0,0,3,0,1,3,1
Target,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,1,1
RpcDispatcherInterruptTest,1.33,2,0,1,2,0,0,0,1,1,2,2,0,87,0,0,4,0,0,6,0,0.13,8,1
RpcDispatcherSerializationTest,1.6,5,0,1,4,0,0,0,2,1,5,4,0,155,0,0,5,0,0,5,0,0.8,8,1
LockNotification,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,1
ForkChannel,1.88,1,0,1,1,0,0,0,0,1,5,1,0,300,14,0,3,0,0,24,0,0.09,45,1
ForkProtocol,1.67,1,0,1,1,0,0,0,0,1,1,1,0,31,0,0,1,0,0,3,0,0,5,1
UnknownForkHandler,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,2,0,0,0,1
Log,0,0,0,1,0,16,28,0,0,0,0,0,0,48,0,0,0,0,2,26,0,0,0,1
CustomLogFactory,0,0,0,1,0,1,2,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,1
JDKLogImpl,1.56,0,0,1,0,0,0,0,0,0,0,0,0,205,0,0,2,0,0,32,0,0.2,50,1
Log4J2LogImpl,1.41,0,0,1,0,0,0,0,0,0,0,0,0,164,0,0,2,0,0,29,0,0.85,41,1
CertficateCNMatcher,1.5,0,0,1,0,0,0,0,0,0,0,0,0,28,0,0,2,0,0,2,0,1,3,1
CLEAR_FLAGS,2,0,0,1,0,0,0,0,0,1,0,0,0,11,0,0,1,0,0,1,0,1,2,1
DELIVERY_TIME,1,0,0,1,0,0,0,0,0,1,0,0,0,46,0,0,1,0,0,4,0,1,4,1
DISCARD_PAYLOAD,3.5,0,0,1,0,0,0,0,0,1,0,0,0,34,0,0,3,0,0,2,0,1,7,1
GOOGLE_PING,2,0,1,0.25,1,0,0,0,0,2,1,0,0,15,0,0,0,0,0,2,0,0,4,1
S3_PING,4.23,14,0,1,8,1,9,2,1,1,15,8,3100,1867,0,0,10,0,1,13,0,0.23,55,1
HDRS,2.33,0,0,1,0,0,0,0,0,1,0,0,0,34,0,0,2,0,0,3,0,1,7,1
KeyExchange,1.25,3,0,1,1,0,0,0,1,1,5,1,0,58,0,0,1,0,0,8,0,0.07,10,1
NoBundler,1.17,4,0,1,1,0,0,0,1,0,4,1,0,29,0,0,2,0,0,6,0,0,7,1
CallingFormat,0.43,0,0,1,0,1,2,0,1,0,0,0,0,91,0,0,3,0,3,7,0,0,3,1
SenderSendsBundler,3,0,0,1,0,0,0,0,0,1,0,0,0,24,0,0,1,0,0,1,0,1,3,1
SNIFF,1.8,0,0,1,0,0,0,0,0,1,0,0,0,52,0,0,2,0,0,5,0,0,9,1
TRACE,1,0,0,1,0,0,0,0,0,1,0,0,0,39,0,0,0,0,0,6,0,0.6,6,1
S3_PINGTest,1,2,0,1,3,0,0,0,1,0,8,1,0,141,0,0,1,0,0,18,0,0.24,18,1
ASYM_ENCRYPT_LeaveTest,1,0,0,1,0,0,0,0,0,1,0,0,0,34,0,0,2,0,1,4,0,0,4,1
ASYM_ENCRYPT_LeaveTestKeyExchange,1,0,1,0.2,0,0,0,0,0,2,0,0,0,7,1,0,0,0,0,2,0,0,2,1
ASYM_ENCRYPT_TestKeyExchange,1,0,0,1,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,4,0,0.17,4,1
AUTHTest,1.08,4,0,1,2,0,0,0.5,0,0,10,2,0,188,0,0,0,0,0,12,0,0,13,1
NAKACK_SET_DIGEST_Test,1,1,0,1,1,0,0,0,1,0,3,1,0,62,0,0,9,0,0,3,0,1,3,1
SUPERVISOR_Test,1.43,0,0,1,1,0,0,0,0,0,1,0,0,103,0,0,2,0,0,7,0,0.19,10,1
RestartFailureDetector,1.14,0,0,1,0,0,0,0,0,1,0,0,0,21,0,0,1,0,0,7,0,0.4,8,1
SYM_ENCRYPT_Test,1,0,0,1,0,0,0,0,0,1,0,0,0,39,0,0,1,0,0,4,0,0,4,1
TCPPING_Test,1,1,0,1,1,0,0,0,0,0,1,1,0,21,0,0,1,0,0,2,0,0,2,1
MySender,1.5,0,0,1,0,0,0,0,1,1,0,0,0,31,0,0,4,0,0,2,0,1,3,1
UNICAST_DropFirstAndLastTest,1.4,0,0,1,0,0,0,0,0,0,0,0,0,129,0,0,4,0,0,10,0,0.18,14,1
UNICAST_DroppedAckTest,1.67,0,0,1,0,0,0,0,0,0,0,0,0,62,0,0,2,0,0,6,0,0.2,10,1
RouteStatusListener,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,2,0,0,0,1
Route,1.36,0,0,1,1,0,0,0,2,0,2,0,0,60,0,0,5,0,0,11,0,0.16,15,1
SiteAddress,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,1,0,1
SiteMasterPicker,0,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,0,1
GmsImpl,0.86,2,0,1,1,0,0,0,1,0,2,1,0,139,0,0,3,0,1,22,0,0.07,19,1
ServerGmsImpl,1.58,0,7,0.5,1,0,0,0,0,1,2,0,0,97,0,0,0,0,0,12,0,0.33,19,1
CheckFDMonitor,1.57,1,0,1,1,0,0,0,0,1,1,1,0,38,1,0,1,0,0,7,0,0.29,11,1
Rule,0.8,0,0,1,1,0,0,0,1,0,3,0,0,46,0,0,2,0,3,10,0,0,8,1
EventHandler,0,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,4,0,0,0,1
SampleRule,1,0,0,1,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,5,0,0,5,1
DeliveryManager,0,0,0,1,0,1,1,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,1
DeliveryProtocol,0,0,0,1,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,1
DeliveryThread,1.5,0,0,1,3,0,0,0,3,1,3,0,0,58,0,0,4,0,0,6,0,0,9,1
AddressedDNSResolverTest,1,0,0,1,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,3,0,0,3,1
DNS_PINGTest,1.2,0,0,1,0,0,0,0,0,0,0,0,0,70,0,0,2,0,0,5,0,0.3,6,1
X509Token,1.6,0,0,1,1,0,0,0,0,1,2,0,0,122,4,0,12,0,0,10,0,0.5,16,1
FileObserver,0,0,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,1
FileWatchTask,2,0,0,1,1,0,0,0,1,1,1,0,0,24,0,0,3,0,0,2,0,1,4,1
SaslClientCallbackHandler,4,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,3,0,0,2,0,1,8,1
SaslContext,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,6,0,0,0,1
AdditionalJmxObjects,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,1,0,1
BecomeServerTest,1.25,1,0,1,1,1,1,0,0,1,1,1,0,71,0,0,2,0,0,4,0,0.17,5,1
1,1,0,2,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,1,1,1
2,1,1,0,1,1,0,0,0,0,1,2,1,0,5,0,0,0,0,0,1,0,1,1,1
3,2,2,2,1,1,0,0,0,0,1,2,1,0,13,0,0,0,0,0,1,0,1,2,1
BecomeServerTestHelper,2.5,0,0,1,0,0,0,0,0,1,0,0,0,20,0,0,0,0,0,2,0,1,5,1
ForwardToCoordFailoverTestHelper,1.5,0,0,1,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,2,0,1,3,1
1,2,0,0,1,2,0,0,0,0,1,3,0,0,9,0,0,0,0,0,1,0,1,2,1
MessageBeforeConnectedTestHelper,1,0,0,1,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,2,0,1,2,1
SendUnicast,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,1,1,1
SequencerFailoverTestHelper,1.5,0,0,1,0,0,0,0,0,1,0,0,0,25,0,0,0,0,0,2,0,1,3,1
ServerTestHelper,1,0,0,1,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,4,0,0,4,1
Closer,1,0,0,1,0,0,0,0,0,1,0,0,0,20,0,0,2,0,0,2,0,1,2,1
MyReceiver,1,0,5,1,0,0,0,0,0,1,0,0,0,23,0,0,1,0,0,5,0,1,5,1
ConcurrentFlushTest,1.25,2,0,1,2,0,0,0,0,0,2,2,0,227,0,0,3,0,0,8,0,0.36,10,1
EventSequence,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,2,0,0,0,1
Flusher,2,0,0,1,0,0,0,0,0,1,0,0,0,34,0,0,4,0,0,2,0,1,4,1
ThreadFactoryTest,1,2,0,1,2,0,0,0,1,0,6,1,0,54,0,0,4,0,0,3,0,1,3,1
MyRunnable,0.5,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,1,1
BARRIERTest,1.25,2,0,1,2,3,3,0,0,0,4,2,0,149,0,0,4,0,0,8,0,0.93,10,1
1,1,2,0,1,1,0,0,0,0,1,2,1,0,2,0,0,0,0,0,1,0,1,1,1
BlockingReceiver,1,0,2,1,0,0,0,0,0,1,0,0,0,16,0,0,1,0,0,2,0,1,2,1
2,1,2,0,1,1,0,0,0,0,1,2,1,0,4,0,0,0,0,0,1,0,1,1,1
3,1,2,0,1,1,0,0,0,0,1,2,1,0,4,0,0,0,0,0,1,0,1,1,1
BitsTest,1.43,0,0,1,2,0,0,0,0,0,37,0,0,402,0,0,0,0,0,46,0,0.03,66,1
ByteBufferOutputStreamTest,2,2,0,1,2,0,0,0,0,0,2,2,0,22,0,0,0,0,0,1,0,1,2,1
ClassConfiguratorTest,1,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,1,0,0,1,0,1,1,1
ConnectStressTest,2.8,0,0,1,1,0,0,0,0,0,1,0,0,96,0,0,4,0,0,5,0,0.4,14,1
MyThread,1,0,0,1,0,0,0,0,0,1,0,0,0,19,0,0,2,0,0,2,0,1,2,1
CustomProtocolTest,1,0,0,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,1,1,1
DiscoveryTest,1.5,1,0,1,1,0,0,0,0,0,2,1,0,57,0,0,4,0,0,6,0,0.4,9,1
DrainTest,2.5,0,0,1,0,0,1,0,3,0,0,0,0,88,0,0,6,0,0,4,0,0.5,10,1
DynamicDiscardTest,2,8,0,1,5,0,0,0,0,0,8,5,0,62,0,0,1,0,0,1,0,1,2,1
MyRequestHandler,0.5,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,1,1,1
MyMembershipListener,1,0,1,1,0,0,0,0,0,1,0,0,0,11,0,0,1,0,0,2,0,1,2,1
FalseSuspicionTest,1.6,0,0,1,0,0,0,0,0,0,0,0,0,65,0,0,3,0,0,5,0,0.3,8,1
FdMonitorTest,1,0,0,1,0,0,0,0,0,0,0,0,0,59,0,0,3,0,0,7,0,0.19,7,1
JmxTest,1.29,2,0,1,2,0,0,0,1,0,2,2,0,222,0,0,4,0,0,17,0,0.18,22,1
Child,0.9,0,0,0,0,0,0,0,0,1,0,0,0,29,9,0,4,0,0,10,0,0,9,1
Parent,1,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,5,0,1,2,0,0,2,1
LazyThreadFactoryTest,2,0,0,1,0,0,0,0,0,0,0,0,0,43,0,0,2,0,0,2,0,1,4,1
LeaveTest,1,0,0,1,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,3,0,0,3,1
MergeTest5,1.57,0,0,1,0,0,0,0,0,0,0,0,0,98,0,0,3,0,0,7,0,0.14,11,1
MessageBatchDrainTest,1.75,0,0,1,0,0,1,0,0,0,0,0,0,141,0,0,10,0,0,8,0,0.36,14,1
MessageBatchDrainTest2,1.78,0,0,1,0,0,1,0,0,0,0,0,0,157,0,0,10,0,0,9,0,0.39,16,1
MessageDispatcherRSVPTest,1.75,0,0,1,7,0,0,0,1,0,12,0,0,169,0,0,4,0,0,8,0,1,14,1
MyDiagnosticsHandler,1,0,0,1,0,1,2,0,0,1,0,0,0,10,0,0,0,0,0,4,0,0,4,1
MessageSizeTest,1.67,3,0,1,3,0,0,0,0,0,4,2,0,95,0,0,6,0,0,6,0,0.07,10,1
ProgrammaticApiTest,1,2,0,1,2,0,0,0,0,0,2,2,0,59,0,0,1,0,0,3,0,0.33,3,1
PropertyConvertersTest,1.8,1,0,1,1,0,0,0,0,0,1,1,0,62,0,0,0,0,0,5,0,0,9,1
ReceiverAdapterTest,1.67,0,0,1,1,0,0,0,0,0,1,0,0,43,0,0,0,0,0,3,0,0,5,1
ResponsesTest,2.58,0,0,1,0,0,0,0,3,0,0,0,0,180,0,0,4,0,0,12,0,0.56,31,1
RSVPTest,2,6,0,1,5,0,0,0,1,0,6,5,0,223,0,0,4,0,0,8,0,0.75,16,1
VersionTest,1.1,0,0,1,1,0,0,0,0,0,8,0,0,74,0,0,0,0,0,10,0,0,11,1
CheckMonotonicallyIncreasingNumbers,4,0,0,1,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,3,0,1,12,1
FlowControlTest,2.71,0,3,1,0,0,0,0,0,1,0,0,0,130,2,0,2,0,0,7,0,0.8,19,1
mcast,3.6,0,0,1,1,1,1,0,0,0,2,0,0,194,0,0,9,0,0,5,0,0.33,18,1
Receiver,2,3,0,1,1,1,1,0,0,1,4,1,0,46,0,0,1,0,0,3,0,1,6,1
McastSender,2,2,0,1,2,0,0,0,0,1,3,1,0,22,0,0,0,0,0,2,0,1,4,1
UcastReceiver,2.5,2,0,1,2,0,0,0.5,0,1,2,2,2000,36,0,0,0,0,0,2,0,1,5,1
McastReceiverTest,5.5,0,0,1,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,2,0,0,11,1
ModClusterAdvertizeListener,6.5,0,0,1,0,0,0,0.5,0,0,0,0,0,96,0,0,0,0,0,2,0,1,13,1
MulticastTest,1.25,0,0,1,0,0,0,0,0,0,0,0,0,46,0,0,3,0,0,4,0,0.33,5,1
NioClientTest,2.6,0,0,1,1,0,0,0,0,0,1,0,0,115,0,0,4,0,0,5,0,0,13,1
Sender,2,2,0,1,1,0,0,0,0,1,2,1,0,41,0,0,5,0,0,2,0,1,4,1
ShmTest,6.5,0,0,1,0,0,0,0.5,0,0,0,0,0,83,0,0,4,0,0,2,0,0,13,1
UnicastTest,2.53,0,0,1,1,1,1,0,1,0,2,0,0,305,0,0,10,0,0,15,0,0.55,38,1
UnicastTestSharedLoopback,1,0,0,1,1,0,0,0,0,0,3,0,0,26,0,0,0,0,0,2,0,0,2,1
UnicastTestTcp,2.83,0,0,1,4,1,1,0,2,0,6,0,0,301,0,0,25,0,0,12,0,0.55,34,1
Acceptor,1.33,1,0,1,1,0,0,0,0,1,6,1,0,27,0,0,0,0,0,3,0,0,4,1
UnicastTestTcpSlow,3,3,0,1,6,0,1,0,1,0,15,1,0,335,0,0,24,0,0,11,0,0.67,33,1
RtReceiver,0,0,0,1,0,2,4,0,0,0,0,0,0,11,0,0,0,0,0,1,0,1,0,1
RtTransport,0,0,0,1,0,0,0,0,0,0,0,0,0,57,0,0,0,0,4,8,0,0,0,1
JGroupsTransport,2.17,0,3,1,1,0,0,0,2,1,1,0,0,115,0,0,6,0,0,12,0,0.13,26,1
NioTransport,2,0,0,1,1,0,0,0,3,0,1,0,0,118,0,0,9,0,0,9,0,0.11,18,1
Receiver,4,3,0,1,2,0,0,0.5,0,1,3,2,0,31,0,0,0,0,0,2,0,1,8,1
ServerTransport,2.09,0,2,1,7,0,0,0,2,1,8,0,0,98,0,0,7,0,0,11,0,0.11,23,1
TcpTransport,2,0,0,1,0,0,0,0,3,0,0,0,0,116,0,0,11,0,0,9,0,0.07,18,1
UdpPerf,1.56,0,0,1,2,2,2,0,1,0,2,0,0,200,0,0,11,0,0,9,0,0.29,14,1
Sender,3,0,0,1,1,0,0,0,0,1,1,0,0,36,0,0,3,0,0,2,0,1,6,1
1,1,0,1,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,1,1,1
2,1,0,1,1,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,1,1,1
ProgrammaticChat,2,2,0,1,2,0,0,0,0,0,2,2,0,55,0,0,0,0,0,1,0,1,2,1
PubClient,2,0,3,1,6,0,0,0,0,1,7,0,0,126,1,0,4,0,0,11,0,0.42,22,1
PubServer,1.86,0,3,1,5,0,0,0,1,1,5,0,0,72,1,0,2,0,0,7,0,0.47,13,1
RelayDemo,2,1,0,1,1,0,0,0,0,0,1,1,0,85,0,0,0,0,0,2,0,0,4,1
ViewDemo,1.5,0,2,1,0,0,0,0,0,1,0,0,0,60,2,0,1,0,0,6,0,0.3,9,1
MessageDialog,1,0,0,1,0,0,0,0,0,4,0,0,0,40,0,0,2,0,0,2,0,1,2,1
SendDialog,2.67,1,0,1,2,0,0,0,2,4,2,1,0,80,0,0,5,0,0,3,0,1,8,1
SizeStreamable,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,6,1,0,1,0,1
Streamable,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,18,2,0,0,0,1
ThreadFactory,0,0,0,1,0,2,2,0,0,0,0,0,0,9,0,0,0,0,1,6,0,0,0,1
ByteArrayDataOutputStream,2.22,0,0,1,1,7,10,0,1,0,1,0,0,192,0,0,3,0,0,27,0,0.04,60,1
ByteArrayDataInputStream,2.62,0,0,1,0,2,5,0,1,0,0,0,0,269,0,0,3,0,0,26,0,0,68,1
MergeId,1.33,0,0,1,0,0,0,0,1,0,0,0,0,48,5,0,3,0,0,9,0,0.29,12,1
ArrayIterator,1.25,0,0,1,0,0,0,0,1,0,0,0,0,22,0,0,2,0,0,4,0,0,5,1
AsciiString,1.92,0,0,1,0,2,7,0,1,0,0,0,0,80,0,0,1,0,0,12,0,0.29,23,1
Bits,2.03,0,0,1,1,0,0,0,0,0,3,0,0,769,0,0,0,0,0,68,0,0,138,1
BlockingInputStream,2.29,0,0,1,0,0,0,0,3,1,0,0,0,246,0,0,7,0,0,17,0,0.18,39,1
BoundedHashMap,1,0,0,1,0,0,0,0,0,1,0,0,0,16,0,0,2,0,0,3,0,0,3,1
